row_id,date,customer_name,material_code,material_description,pick_qty,pick_uom,menu_type
75,2025-05-08,Nik19,602220,Salad Bar_Live Station,5.0,EA,LUNCH
76,2025-05-08,Nik19,611455,Chole Masala Sandwich,10.0,EA,BREAKFAST
77,2025-05-08,Nik19,611605,Salad Bar_Tossed Garlic Paneer,2.0,KG,LUNCH
78,2025-05-08,Nik19,611622,Tomato Basil Soup,2.0,L,LUNCH
79,2025-05-08,Nik19,612082,Garlic Cinnamon Grilled Chicken,2.0,KG,LUNCH
80,2025-05-08,PEG9,602217,Salad Bar _Cf_H,8.1,KG,LUNCH
81,2025-05-08,Pho10,600449,Chicken Burger,1156.68,EA,LUNCH
82,2025-05-08,Pho10,602217,Salad Bar _Cf_H,182.25,KG,LUNCH
83,2025-05-08,Pho10,602627,Veg Burger,1098.36,EA,LUNCH
84,2025-05-08,Pho10,611353,Lemon Garlic Grilled Chicken Breast,182.25,KG,LUNCH
85,2025-05-08,Pos20,600647,Cous Cous Vegetable,3.0,KG,LUNCH
86,2025-05-08,Pos20,602228,Saladbar_Tuesday,2.0,KG,LUNCH
87,2025-05-08,Pos20,611622,Tomato Basil Soup,2.0,L,LUNCH
88,2025-05-08,Pos20,611811,Singapore Laksa,15.0,KG,LUNCH
89,2025-05-08,RUB21,600774,Dal Shorba,5.16,L,LUNCH
90,2025-05-08,SBM22,601017,Green Salad,15.0,KG,LUNCH
91,2025-05-08,SYN23,601017,Green Salad,24.85,KG,LUNCH
92,2025-05-08,THE24,601017,Green Salad,10.0,KG,LUNCH
93,2025-05-08,THE24,601786,Nachos Tex Max _Live,6.6,EA,LUNCH
94,2025-05-08,TOB11,600174,Barbequed Chicken With Shallot Jus_Breas,30.0,KG,LUNCH
95,2025-05-08,TOB11,602176,Roasted Potato Wedges,24.9,KG,LUNCH
96,2025-05-08,TOB11,602588,Tossed Salad,24.9,KG,LUNCH
97,2025-05-08,TOB11,611600,Red Rice Porridge,60.0,KG,LUNCH
98,2025-05-08,TOB11,611841,Buttered Vegetable,35.1,KG,LUNCH
99,2025-05-08,UBE12,600774,Dal Shorba,19.5,L,BREAKFAST
100,2025-05-08,UBE12,600774,Dal Shorba,22.1,L,LUNCH
101,2025-05-08,UBE12,602354,Steamed Jasmine Rice,31.5,KG,BREAKFAST
102,2025-05-08,UBE12,602354,Steamed Jasmine Rice,35.7,KG,LUNCH
103,2025-05-08,UBE12,611468,Cream Of Chicken Soup,19.5,L,BREAKFAST
104,2025-05-08,UBE12,611468,Cream Of Chicken Soup,22.1,L,LUNCH
105,2025-05-08,Xia13,600670,Cream Of Tomato Soup,7.2,L,LUNCH
106,2025-05-08,AUT25,602136,Rava Idly,380.0,EA,BREAKFAST
107,2025-05-08,BAN1,600707,Curd,1.2,L,BQT LUNCH
108,2025-05-08,BAN1,602009,Pickle 5Kg,12.0,KG,BQT LUNCH
